id,app,storefront,rating,date,primary_wish,title
En-DE-032,Endel,DE,1,2026-04-15,stop upsell / ads / push nagging,"Stop the intrusive lifetime ads, at every startup (again, they are back, I already have premium!)"
En-DE-059,Endel,DE,2,2026-01-07,desktop / mac / windows / web version,"iPhone app is great, Mac app needs an update"
En-DE-077,Endel,DE,3,2025-10-20,desktop / mac / windows / web version,Great app but only on iPhone
En-DE-095,Endel,DE,1,2025-08-19,visuals / UI / navigation / dark mode,Abzocke
En-DE-100,Endel,DE,3,2025-08-06,desktop / mac / windows / web version,Block apps on mac would be great
En-DE-121,Endel,DE,1,2025-06-17,bugs/fixes (stability wishes),KI Stimme für 60€
En-DE-122,Endel,DE,4,2025-06-15,more variety / more soundscapes & music,"Great Focus Modes, Background Sounds Could Improve"
En-DE-123,Endel,DE,4,2025-06-10,visuals / UI / navigation / dark mode,UI is frustrating to navigate
En-DE-125,Endel,DE,4,2025-05-07,desktop / mac / windows / web version,Just missing some features
En-DE-141,Endel,DE,4,2025-03-25,desktop / mac / windows / web version,Gut aber abgespeckt
En-DE-151,Endel,DE,3,2025-02-24,timer / scheduling / session features,Zu kompliziert
En-DE-153,Endel,DE,4,2025-02-21,visuals / UI / navigation / dark mode,Irgendwie doch gut! Bin zurück und habe abonniert
En-DE-178,Endel,DE,3,2024-11-29,desktop / mac / windows / web version,Great Idea but execution is meh
En-DE-189,Endel,DE,5,2024-10-19,timer / scheduling / session features,Ein wirklich gelungenes Programm
En-DE-218,Endel,DE,4,2024-05-29,timer / scheduling / session features,Smart Alarm
En-DE-220,Endel,DE,5,2024-05-27,timer / scheduling / session features,Very nice app for cool seamless white noise
En-DE-229,Endel,DE,3,2024-02-02,stop upsell / ads / push nagging,"Tolle App, aber…"
En-DE-239,Endel,DE,3,2023-11-14,integration: watch / wearable / smart home / casting,Da geht noch was
En-DE-252,Endel,DE,4,2023-09-30,timer / scheduling / session features,Super App! nur eine Sache fehlt
En-DE-256,Endel,DE,4,2023-07-21,playback controls (autoplay / background mode),Wird immer besser...
En-DE-258,Endel,DE,4,2023-07-11,other/uncategorized wish,Great focus music
En-DE-277,Endel,DE,4,2023-02-11,timer / scheduling / session features,Sehr gute App!
En-DE-279,Endel,DE,5,2023-02-06,"sleep-specific features (smart alarm, tracking)",Wirklich großartig
En-DE-285,Endel,DE,4,2022-12-25,playback controls (autoplay / background mode),"Super, aber noch einen Wunsch"
En-DE-290,Endel,DE,3,2022-12-07,visuals / UI / navigation / dark mode,Gut gemacht.
Br-US-029,Brain.fm,US,3,2026-07-08,integration: Spotify/Apple Music/streaming,Bring back workout mode!!! Please!!!
Br-US-038,Brain.fm,US,1,2026-06-11,account / subscription management / restore,Beware
Br-US-059,Brain.fm,US,1,2026-04-29,other/uncategorized wish,Purchase?!
Br-US-068,Brain.fm,US,5,2026-03-26,customization / mix-your-own / controls,Definitely helps my ADHD focus issues at least a bit!
Br-US-070,Brain.fm,US,3,2026-03-25,more variety / more soundscapes & music,Jazz and Piano
Br-US-080,Brain.fm,US,1,2026-03-11,offline / download,Deceptive
Br-US-098,Brain.fm,US,5,2026-02-13,other/uncategorized wish,Awesome discovery!
Br-US-101,Brain.fm,US,1,2026-02-11,cheaper / pricing / free tier,"Buggy onboarding, too harsh paywall, overpriced"
Br-US-108,Brain.fm,US,5,2026-01-26,integration: watch / wearable / smart home / casting,"Works great, but missing an Apple Watch app"
Br-US-110,Brain.fm,US,3,2026-01-22,customization / mix-your-own / controls,Limited
Br-US-113,Brain.fm,US,1,2026-01-19,cheaper / pricing / free tier,Too expensive subscription
Br-US-116,Brain.fm,US,1,2026-01-12,offline / download,"Music great, app terrible"
Br-US-119,Brain.fm,US,5,2026-01-08,apple health / healthkit / data integrations,HRV recovery
Br-US-133,Brain.fm,US,5,2025-11-24,customization / mix-your-own / controls,Serious focus
Br-US-134,Brain.fm,US,5,2025-11-21,other/uncategorized wish,Worth it!!
Br-US-138,Brain.fm,US,5,2025-11-05,desktop / mac / windows / web version,It has helped me so much
Br-US-155,Brain.fm,US,5,2025-09-30,more variety / more soundscapes & music,Good for focus!
Br-US-158,Brain.fm,US,2,2025-09-23,customization / mix-your-own / controls,"It works, music’s great. App: horrible"
Br-US-159,Brain.fm,US,4,2025-09-23,integration: watch / wearable / smart home / casting,Awesome App
Br-US-161,Brain.fm,US,1,2025-09-22,bugs/fixes (stability wishes),Love but subscription won’t sync
Br-US-164,Brain.fm,US,1,2025-09-15,desktop / mac / windows / web version,Keeps crashing
Br-US-177,Brain.fm,US,5,2025-07-25,customization / mix-your-own / controls,Suggestion for the Dev
Br-US-192,Brain.fm,US,4,2025-06-09,integration: watch / wearable / smart home / casting,Perfect except…
Br-US-213,Brain.fm,US,5,2025-04-04,more variety / more soundscapes & music,Beyond Impressed!!
Br-US-214,Brain.fm,US,5,2025-04-01,desktop / mac / windows / web version,Desktop App?
Br-US-218,Brain.fm,US,5,2025-03-17,customization / mix-your-own / controls,I use this app every day.
Br-US-225,Brain.fm,US,5,2025-03-05,other/uncategorized wish,‏Brain.fm is truly a game-changer!
Br-US-230,Brain.fm,US,4,2025-02-17,other/uncategorized wish,Mostly love
Br-US-239,Brain.fm,US,1,2025-01-23,customization / mix-your-own / controls,Aggravating
Br-US-252,Brain.fm,US,3,2024-12-22,desktop / mac / windows / web version,Interval Timer Missing
Br-US-272,Brain.fm,US,4,2024-10-16,more variety / more soundscapes & music,Great for work and to wind down
Br-US-290,Brain.fm,US,5,2024-08-02,other/uncategorized wish,🌟 Brain.fm: Your Ultimate Focus Buddy! 🌟
Br-DE-021,Brain.fm,DE,5,2025-11-02,cheaper / pricing / free tier,Amazing app!
Br-DE-035,Brain.fm,DE,4,2024-04-12,cheaper / pricing / free tier,Sehr gut aber zu teuer
Br-DE-039,Brain.fm,DE,5,2023-11-27,integration: watch / wearable / smart home / casting,Great app with one flaw
Br-DE-048,Brain.fm,DE,3,2022-08-28,desktop / mac / windows / web version,"Love it, but why no volume control?"
Br-DE-075,Brain.fm,DE,5,2019-11-23,visuals / UI / navigation / dark mode,The music is great. The App ist trash.
Br-DE-080,Brain.fm,DE,2,2019-09-25,visuals / UI / navigation / dark mode,Please add horizontal orientation for iPads!
Br-DE-112,Brain.fm,DE,1,2017-05-11,bugs/fixes (stability wishes),Disappointing
Br-DE-126,Brain.fm,DE,5,2016-12-02,customization / mix-your-own / controls,Great app and service!
